ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622119956907,3,10,21.03532,105.78056,1622119952,2021-05-27 19:52:32,2021-05-27 19:52:36
1622119956907,4,9,21.0354,105.78058,1622119953,2021-05-27 19:52:33,2021-05-27 19:52:36
1622119956907,5,10,21.03549,105.78059,1622119954,2021-05-27 19:52:34,2021-05-27 19:52:36
1622119956907,6,8,21.03557,105.7806,1622119955,2021-05-27 19:52:35,2021-05-27 19:52:36
1622119956907,7,9,21.03564,105.78061,1622119956,2021-05-27 19:52:36,2021-05-27 19:52:36
1622119964974,0,9,21.03571,105.78062,1622119957,2021-05-27 19:52:37,2021-05-27 19:52:44
1622119964974,1,11,21.03577,105.78063,1622119958,2021-05-27 19:52:38,2021-05-27 19:52:44
1622119964974,2,11,21.03582,105.78064,1622119959,2021-05-27 19:52:39,2021-05-27 19:52:44
1622119964974,3,13,21.03586,105.78065,1622119960,2021-05-27 19:52:40,2021-05-27 19:52:44
1622119964974,4,13,21.0359,105.78065,1622119961,2021-05-27 19:52:41,2021-05-27 19:52:44
1622119964974,5,10,21.03594,105.78066,1622119962,2021-05-27 19:52:42,2021-05-27 19:52:44
1622119964974,6,2,21.03598,105.78066,1622119963,2021-05-27 19:52:43,2021-05-27 19:52:44
1622119964974,7,97,21.03602,105.78065,1622119964,2021-05-27 19:52:44,2021-05-27 19:52:44
1622119973373,0,89,21.03605,105.78063,1622119965,2021-05-27 19:52:45,2021-05-27 19:52:53
1622119973373,1,82,21.03609,105.78062,1622119966,2021-05-27 19:52:46,2021-05-27 19:52:53
1622119973373,2,77,21.03612,105.78059,1622119967,2021-05-27 19:52:47,2021-05-27 19:52:53
1622119973373,3,73,21.03615,105.78057,1622119968,2021-05-27 19:52:48,2021-05-27 19:52:53
1622119973373,4,67,21.03618,105.78053,1622119969,2021-05-27 19:52:49,2021-05-27 19:52:53
1622119973373,5,66,21.0362,105.78051,1622119970,2021-05-27 19:52:50,2021-05-27 19:52:53
1622119973373,6,46,21.03619,105.78044,1622119971,2021-05-27 19:52:51,2021-05-27 19:52:53
1622119973373,7,4,21.03609,105.78039,1622119972,2021-05-27 19:52:52,2021-05-27 19:52:53
1622119980887,0,238,21.03604,105.78036,1622119973,2021-05-27 19:52:53,2021-05-27 19:53:00
1622119980887,1,197,21.03594,105.78039,1622119974,2021-05-27 19:52:54,2021-05-27 19:53:00
1622119980887,2,188,21.03585,105.78038,1622119975,2021-05-27 19:52:55,2021-05-27 19:53:00
1622119980887,3,188,21.03577,105.78036,1622119976,2021-05-27 19:52:56,2021-05-27 19:53:00
1622119980887,4,188,21.03569,105.78035,1622119977,2021-05-27 19:52:57,2021-05-27 19:53:00
1622119980887,5,188,21.0356,105.78033,1622119978,2021-05-27 19:52:58,2021-05-27 19:53:00
1622119980887,6,188,21.03551,105.78032,1622119979,2021-05-27 19:52:59,2021-05-27 19:53:00
