ts,heading,height,lat,lng,positionTime,speed,h_positionTime,h_receiveTime
1622120840605,255,11,21.0034,105.72361,1622120839,50,2021-05-27 20:07:19,2021-05-27 20:07:20
1622120848127,234,10,21.00314,105.72293,1622120847,39,2021-05-27 20:07:27,2021-05-27 20:07:28
1622120857657,141,8,21.00269,105.72321,1622120855,37,2021-05-27 20:07:35,2021-05-27 20:07:37
1622120864167,143,8,21.00202,105.72378,1622120863,46,2021-05-27 20:07:43,2021-05-27 20:07:44
1622120872644,168,7,21.00115,105.72411,1622120871,48,2021-05-27 20:07:51,2021-05-27 20:07:52
1622120880785,197,7,21.00035,105.72426,1622120879,44,2021-05-27 20:07:59,2021-05-27 20:08:00
1622120889263,169,7,21.00006,105.72389,1622120888,30,2021-05-27 20:08:08,2021-05-27 20:08:09
1622120897674,180,7,20.99944,105.72404,1622120896,32,2021-05-27 20:08:16,2021-05-27 20:08:17
1622120905144,203,6,20.99897,105.7239,1622120904,29,2021-05-27 20:08:24,2021-05-27 20:08:25
1622120913275,205,9,20.99881,105.72383,1622120912,19,2021-05-27 20:08:32,2021-05-27 20:08:33
1622120920966,234,9,20.99849,105.72352,1622120920,25,2021-05-27 20:08:40,2021-05-27 20:08:40
1622120929450,247,9,20.99827,105.72302,1622120928,27,2021-05-27 20:08:48,2021-05-27 20:08:49
1622120936867,13,10,20.99823,105.72252,1622120936,24,2021-05-27 20:08:56,2021-05-27 20:08:56
1622120945157,43,9,20.99833,105.72211,1622120944,20,2021-05-27 20:09:04,2021-05-27 20:09:05
1622120953588,42,9,20.99857,105.72172,1622120952,24,2021-05-27 20:09:12,2021-05-27 20:09:13
1622120961099,26,6,20.99872,105.72124,1622120960,24,2021-05-27 20:09:20,2021-05-27 20:09:21
1622120970017,15,7,20.99875,105.72083,1622120968,21,2021-05-27 20:09:28,2021-05-27 20:09:30
1622120978262,8,6,20.99871,105.72045,1622120977,17,2021-05-27 20:09:37,2021-05-27 20:09:38
1622120985882,39,7,20.9987,105.72012,1622120985,17,2021-05-27 20:09:45,2021-05-27 20:09:45
1622120994572,43,8,20.99893,105.71985,1622120993,17,2021-05-27 20:09:53,2021-05-27 20:09:54
1622121001982,33,9,20.999,105.71964,1622121001,12,2021-05-27 20:10:01,2021-05-27 20:10:01
1622121011046,50,8,20.99902,105.71962,1622121010,2,2021-05-27 20:10:10,2021-05-27 20:10:11
1622121019522,50,10,20.99903,105.71961,1622121018,0,2021-05-27 20:10:18,2021-05-27 20:10:19
1622121026942,16,9,20.99904,105.71949,1622121026,12,2021-05-27 20:10:26,2021-05-27 20:10:26
1622121035422,252,9,20.99899,105.7193,1622121034,11,2021-05-27 20:10:34,2021-05-27 20:10:35
1622121042840,237,13,20.99894,105.71918,1622121041,9,2021-05-27 20:10:41,2021-05-27 20:10:42
1622121051733,237,18,20.99892,105.71914,1622121050,5,2021-05-27 20:10:50,2021-05-27 20:10:51
1622121059135,237,24,20.99895,105.71918,1622121058,4,2021-05-27 20:10:58,2021-05-27 20:10:59
1622121067738,37,28,20.99896,105.71914,1622121066,3,2021-05-27 20:11:06,2021-05-27 20:11:07
1622121075236,37,31,20.99897,105.71916,1622121074,2,2021-05-27 20:11:14,2021-05-27 20:11:15
