ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622678521909,1,91,20.99874,105.721,1622678515,2021-06-03 07:01:55,2021-06-03 07:02:01
1622678521909,2,95,20.99872,105.72108,1622678516,2021-06-03 07:01:56,2021-06-03 07:02:01
1622678521909,3,98,20.99871,105.72116,1622678517,2021-06-03 07:01:57,2021-06-03 07:02:01
1622678521909,4,100,20.99869,105.72124,1622678518,2021-06-03 07:01:58,2021-06-03 07:02:01
1622678521909,5,102,20.99867,105.72131,1622678519,2021-06-03 07:01:59,2021-06-03 07:02:01
1622678521909,6,103,20.99865,105.7214,1622678520,2021-06-03 07:02:00,2021-06-03 07:02:01
1622678521909,7,104,20.99863,105.72147,1622678521,2021-06-03 07:02:01,2021-06-03 07:02:01
1622678529902,0,106,20.9986,105.72155,1622678522,2021-06-03 07:02:02,2021-06-03 07:02:09
1622678529902,1,110,20.99856,105.72163,1622678523,2021-06-03 07:02:03,2021-06-03 07:02:09
1622678529902,2,112,20.99853,105.7217,1622678524,2021-06-03 07:02:04,2021-06-03 07:02:09
1622678529902,3,118,20.99849,105.72177,1622678525,2021-06-03 07:02:05,2021-06-03 07:02:09
1622678529902,4,122,20.99845,105.72183,1622678526,2021-06-03 07:02:06,2021-06-03 07:02:09
1622678529902,5,126,20.9984,105.72189,1622678527,2021-06-03 07:02:07,2021-06-03 07:02:09
1622678529902,6,127,20.99836,105.72195,1622678528,2021-06-03 07:02:08,2021-06-03 07:02:09
1622678529902,7,125,20.99832,105.72202,1622678529,2021-06-03 07:02:09,2021-06-03 07:02:09
1622678537865,0,123,20.99828,105.72208,1622678530,2021-06-03 07:02:10,2021-06-03 07:02:17
1622678537865,1,120,20.99824,105.72215,1622678531,2021-06-03 07:02:11,2021-06-03 07:02:17
1622678537865,2,119,20.99821,105.72222,1622678532,2021-06-03 07:02:12,2021-06-03 07:02:17
1622678537865,3,116,20.99818,105.72229,1622678533,2021-06-03 07:02:13,2021-06-03 07:02:17
1622678537865,4,112,20.99816,105.72237,1622678534,2021-06-03 07:02:14,2021-06-03 07:02:17
1622678537865,5,110,20.99814,105.72243,1622678535,2021-06-03 07:02:15,2021-06-03 07:02:17
1622678537865,6,106,20.99813,105.7225,1622678536,2021-06-03 07:02:16,2021-06-03 07:02:17
1622678537865,7,104,20.99812,105.72258,1622678537,2021-06-03 07:02:17,2021-06-03 07:02:17
1622678545927,0,102,20.99811,105.72265,1622678538,2021-06-03 07:02:18,2021-06-03 07:02:25
1622678545927,1,98,20.99811,105.72272,1622678539,2021-06-03 07:02:19,2021-06-03 07:02:25
1622678545927,2,91,20.99813,105.72279,1622678540,2021-06-03 07:02:20,2021-06-03 07:02:25
1622678545927,3,89,20.99813,105.72287,1622678541,2021-06-03 07:02:21,2021-06-03 07:02:25
1622678545927,4,87,20.99814,105.72295,1622678542,2021-06-03 07:02:22,2021-06-03 07:02:25
1622678545927,5,85,20.99814,105.72301,1622678543,2021-06-03 07:02:23,2021-06-03 07:02:25
1622678545927,6,82,20.99816,105.7231,1622678544,2021-06-03 07:02:24,2021-06-03 07:02:25
1622678545927,7,80,20.99817,105.72318,1622678545,2021-06-03 07:02:25,2021-06-03 07:02:25
1622678553895,0,80,20.99819,105.72325,1622678546,2021-06-03 07:02:26,2021-06-03 07:02:33
1622678553895,1,78,20.9982,105.72333,1622678547,2021-06-03 07:02:27,2021-06-03 07:02:33
1622678553895,2,76,20.99824,105.72339,1622678548,2021-06-03 07:02:28,2021-06-03 07:02:33
1622678553895,3,73,20.99827,105.72345,1622678549,2021-06-03 07:02:29,2021-06-03 07:02:33
1622678553895,4,70,20.9983,105.7235,1622678550,2021-06-03 07:02:30,2021-06-03 07:02:33
1622678553895,5,66,20.99835,105.72356,1622678551,2021-06-03 07:02:31,2021-06-03 07:02:33
1622678553895,6,58,20.99841,105.72359,1622678552,2021-06-03 07:02:32,2021-06-03 07:02:33
1622678553895,7,53,20.99845,105.72363,1622678553,2021-06-03 07:02:33,2021-06-03 07:02:33
1622678561901,0,51,20.99849,105.72369,1622678554,2021-06-03 07:02:34,2021-06-03 07:02:41
1622678561901,1,49,20.99854,105.72373,1622678555,2021-06-03 07:02:35,2021-06-03 07:02:41
1622678561901,2,47,20.99858,105.72378,1622678556,2021-06-03 07:02:36,2021-06-03 07:02:41
1622678561901,3,44,20.99862,105.72382,1622678557,2021-06-03 07:02:37,2021-06-03 07:02:41
1622678561901,4,43,20.99866,105.72386,1622678558,2021-06-03 07:02:38,2021-06-03 07:02:41
1622678561901,5,41,20.9987,105.72389,1622678559,2021-06-03 07:02:39,2021-06-03 07:02:41
1622678561901,6,38,20.99874,105.72392,1622678560,2021-06-03 07:02:40,2021-06-03 07:02:41
1622678561901,7,36,20.99878,105.72394,1622678561,2021-06-03 07:02:41,2021-06-03 07:02:41
1622678569884,0,32,20.99881,105.72395,1622678562,2021-06-03 07:02:42,2021-06-03 07:02:49
1622678569884,1,31,20.99883,105.72398,1622678563,2021-06-03 07:02:43,2021-06-03 07:02:49
1622678569884,2,28,20.99889,105.72399,1622678564,2021-06-03 07:02:44,2021-06-03 07:02:49
1622678569884,3,25,20.99894,105.72401,1622678565,2021-06-03 07:02:45,2021-06-03 07:02:49
1622678569884,4,24,20.99899,105.72404,1622678566,2021-06-03 07:02:46,2021-06-03 07:02:49
1622678569884,5,24,20.99905,105.72406,1622678567,2021-06-03 07:02:47,2021-06-03 07:02:49
1622678569884,6,23,20.99911,105.72408,1622678568,2021-06-03 07:02:48,2021-06-03 07:02:49
1622678569884,7,19,20.99918,105.72409,1622678569,2021-06-03 07:02:49,2021-06-03 07:02:49
1622678577897,0,11,20.99926,105.72409,1622678570,2021-06-03 07:02:50,2021-06-03 07:02:57
1622678577897,1,4,20.99935,105.72408,1622678571,2021-06-03 07:02:51,2021-06-03 07:02:57
1622678577897,2,104,20.99944,105.72408,1622678572,2021-06-03 07:02:52,2021-06-03 07:02:57
1622678577897,3,99,20.99952,105.72407,1622678573,2021-06-03 07:02:53,2021-06-03 07:02:57
1622678577897,4,95,20.99959,105.72405,1622678574,2021-06-03 07:02:54,2021-06-03 07:02:57
1622678577897,5,92,20.99967,105.72404,1622678575,2021-06-03 07:02:55,2021-06-03 07:02:57
1622678577897,6,89,20.99974,105.72401,1622678576,2021-06-03 07:02:56,2021-06-03 07:02:57
1622678577897,7,84,20.9998,105.72398,1622678577,2021-06-03 07:02:57,2021-06-03 07:02:57
1622678585927,0,82,20.99987,105.72395,1622678578,2021-06-03 07:02:58,2021-06-03 07:03:05
1622678585927,1,81,20.99992,105.72393,1622678579,2021-06-03 07:02:59,2021-06-03 07:03:05
1622678585927,2,84,20.99998,105.72391,1622678580,2021-06-03 07:03:00,2021-06-03 07:03:05
1622678585927,3,90,21.00003,105.7239,1622678581,2021-06-03 07:03:01,2021-06-03 07:03:05
1622678585927,4,97,21.00009,105.72389,1622678582,2021-06-03 07:03:02,2021-06-03 07:03:05
1622678585927,5,101,21.00015,105.7239,1622678583,2021-06-03 07:03:03,2021-06-03 07:03:05
1622678585927,6,3,21.00018,105.72392,1622678584,2021-06-03 07:03:04,2021-06-03 07:03:05
1622678585927,7,9,21.00021,105.72394,1622678585,2021-06-03 07:03:05,2021-06-03 07:03:05
1622678593919,0,24,21.00022,105.72398,1622678586,2021-06-03 07:03:06,2021-06-03 07:03:13
1622678593919,1,57,21.00022,105.72405,1622678587,2021-06-03 07:03:07,2021-06-03 07:03:13
1622678593919,2,66,21.00023,105.7241,1622678588,2021-06-03 07:03:08,2021-06-03 07:03:13
1622678593919,3,70,21.00025,105.72414,1622678589,2021-06-03 07:03:09,2021-06-03 07:03:13
1622678593919,4,71,21.00026,105.72417,1622678590,2021-06-03 07:03:10,2021-06-03 07:03:13
1622678593919,5,72,21.00028,105.72421,1622678591,2021-06-03 07:03:11,2021-06-03 07:03:13
1622678593919,6,67,21.0003,105.72424,1622678592,2021-06-03 07:03:12,2021-06-03 07:03:13
1622678593919,7,59,21.00034,105.72426,1622678593,2021-06-03 07:03:13,2021-06-03 07:03:13
1622678601921,0,42,21.00038,105.72427,1622678594,2021-06-03 07:03:14,2021-06-03 07:03:21
1622678601921,1,26,21.00044,105.72427,1622678595,2021-06-03 07:03:15,2021-06-03 07:03:21
1622678601921,2,20,21.00048,105.72427,1622678596,2021-06-03 07:03:16,2021-06-03 07:03:21
1622678601921,3,102,21.00057,105.72425,1622678597,2021-06-03 07:03:17,2021-06-03 07:03:21
1622678601921,4,95,21.00065,105.72424,1622678598,2021-06-03 07:03:18,2021-06-03 07:03:21
1622678601921,5,93,21.00073,105.72422,1622678599,2021-06-03 07:03:19,2021-06-03 07:03:21
1622678601921,6,92,21.00081,105.72421,1622678600,2021-06-03 07:03:20,2021-06-03 07:03:21
1622678601921,7,93,21.00089,105.72419,1622678601,2021-06-03 07:03:21,2021-06-03 07:03:21
1622678609897,0,93,21.00098,105.72417,1622678602,2021-06-03 07:03:22,2021-06-03 07:03:29
1622678609897,1,93,21.00108,105.72415,1622678603,2021-06-03 07:03:23,2021-06-03 07:03:29
1622678609897,2,93,21.00117,105.72414,1622678604,2021-06-03 07:03:24,2021-06-03 07:03:29
1622678609897,3,92,21.00127,105.72411,1622678605,2021-06-03 07:03:25,2021-06-03 07:03:29
1622678609897,4,91,21.00137,105.72409,1622678606,2021-06-03 07:03:26,2021-06-03 07:03:29
1622678609897,5,91,21.00147,105.72407,1622678607,2021-06-03 07:03:27,2021-06-03 07:03:29
1622678609897,6,90,21.00157,105.72404,1622678608,2021-06-03 07:03:28,2021-06-03 07:03:29
